Details,Posting Date,"Description",Amount,Type,Balance,Check or Slip #,
DEBIT,01/05/2026,"WHOLEFDS MKT 10123",-84.31,DEBIT_CARD,9915.69,,
DEBIT,01/07/2026,"SHELL OIL 57444444444",-42.10,DEBIT_CARD,9873.59,,
DEBIT,01/09/2026,"NETFLIX.COM",-17.99,DEBIT_CARD,9855.60,,
CREDIT,01/12/2026,"ACME INC PAYROLL",4231.00,ACH_CREDIT,14086.60,,
DEBIT,01/15/2026,"TRADER JOES #482 PORTLAND OR",-63.55,DEBIT_CARD,14023.05,,
DEBIT,01/19/2026,"AMAZON MKTPL*RT4G82KL1",-24.99,DEBIT_CARD,13998.06,,
DEBIT,01/23/2026,"CITY WATER BILL PAYMENT",-111.11,DEBIT_CARD,13886.95,,
CREDIT,02/02/2026,"PAYMENT - THANK YOU",500.00,ACH_CREDIT,14386.95,,



