,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
01/05/2026,WHOLEFDS MKT 10123,,,,,,,,,-84.31,01/05/2026
01/07/2026,SHELL OIL 57444444444,,,,,,,,,-42.10,01/07/2026
01/09/2026,NETFLIX.COM,,,,,,,,,-17.99,01/09/2026
01/12/2026,ACME INC PAYROLL,,,,,,,,,4231.00,01/12/2026
01/15/2026,TRADER JOES #482 PORTLAND OR,,,,,,,,,-63.55,01/15/2026
01/19/2026,AMAZON MKTPL*RT4G82KL1,,,,,,,,,-24.99,01/19/2026
01/23/2026,CITY WATER BILL PAYMENT,,,,,,,,,-111.11,01/23/2026
02/02/2026,PAYMENT - THANK YOU,,,,,,,,,500.00,02/02/2026
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
The data and information in this spreadsheet is provided as-is.,,,,,,,,,,,
Date downloaded 02/04/2026 10:28 am,,,,,,,,,,,
